Longitude	Latitude	Year	Month	Day	Mag	Hour	Minite	Second 
102.900000 24.000000 1970 1 6 3.400000 16 43 0.000000 
102.600000 24.100000 1970 1 7 4.000000 0 3 33.000000 
102.600000 24.100000 1970 1 7 3.200000 0 17 0.000000 
102.600000 24.100000 1970 1 7 3.200000 0 47 0.000000 
102.600000 24.100000 1970 1 7 3.600000 0 55 0.000000 
102.600000 24.100000 1970 1 7 3.400000 1 7 0.000000 
102.400000 24.100000 1970 1 7 4.000000 1 33 6.000000 
102.500000 24.000000 1970 1 7 4.000000 1 42 22.000000 
102.500000 24.000000 1970 1 7 3.000000 1 54 0.000000 
102.500000 24.000000 1970 1 7 3.100000 2 0 0.000000 
102.500000 24.000000 1970 1 7 3.200000 2 28 0.000000 
102.500000 24.000000 1970 1 7 3.200000 2 39 0.000000 
102.500000 24.000000 1970 1 7 4.000000 2 47 59.000000 
102.500000 24.000000 1970 1 7 3.500000 3 29 0.000000 
102.500000 24.000000 1970 1 7 3.200000 5 44 0.000000 
102.500000 24.000000 1970 1 7 3.100000 5 59 0.000000 
102.500000 24.100000 1970 1 7 5.000000 9 10 58.000000 
102.400000 24.100000 1970 1 7 4.500000 9 24 29.000000 
102.400000 24.100000 1970 1 7 3.400000 9 26 0.000000 
102.400000 24.100000 1970 1 7 3.300000 9 28 0.000000 
102.370000 24.050000 1970 1 7 3.400000 9 50 55.000000 
102.370000 24.050000 1970 1 7 3.200000 10 24 0.000000 
102.800000 24.000000 1970 1 7 5.200000 10 43 10.000000 
102.800000 24.000000 1970 1 7 3.300000 10 47 0.000000 
102.800000 24.000000 1970 1 7 3.200000 12 4 0.000000 
102.800000 24.000000 1970 1 7 3.200000 12 11 0.000000 
102.500000 24.000000 1970 1 7 4.000000 15 49 14.000000 
102.500000 24.000000 1970 1 7 3.300000 15 56 0.000000 
102.500000 24.000000 1970 1 7 3.200000 16 41 0.000000 
102.500000 24.000000 1970 1 7 3.500000 17 26 0.000000 
102.500000 24.000000 1970 1 7 3.400000 17 27 0.000000 
